RegionID,RegionName,City,State,Region,Metro,CountyName,SizeRank,2019-10
58652,02138,Cambridge,MA,Northeast,Boston-Cambridge-Newton,Middlesex County,1538,2202900
96978,92660,Newport Beach,CA,West,Los Angeles-Long Beach-Anaheim,Orange County,1331,2198300
72535,33316,Fort Lauderdale,FL,South,Miami-Fort Lauderdale-West Palm Beach,Broward County,4656,2167500
97542,94070,San Carlos,CA,West,San Francisco-Oakland-Hayward,San Mateo County,2373,2165400
96660,92118,Coronado,CA,West,San Diego-Carlsbad,San Diego County,3997,2155000
96602,92037,San Diego,CA,West,San Diego-Carlsbad,San Diego County,777,2153700
99492,98004,Bellevue,WA,West,Seattle-Tacoma-Bellevue,King County,810,2152000
97879,94939,Larkspur,CA,West,San Francisco-Oakland-Hayward,Marin County,6874,2149500
71578,31561,Sea Island,GA,South,Brunswick,Glynn County,9563,2142000
96016,90035,Los Angeles,CA,West,Los Angeles-Long Beach-Anaheim,Los Angeles County,1919,2141000
96017,90036,Los Angeles,CA,West,Los Angeles-Long Beach-Anaheim,Los Angeles County,440,2138900
60545,7030,Hoboken,NJ,Northeast,New York-Newark-Jersey City,Hudson County,41,2135400
72598,33432,Boca Raton,FL,South,Miami-Fort Lauderdale-West Palm Beach,Palm Beach County,2166,2131000
97860,94904,Kentfield,CA,West,San Francisco-Oakland-Hayward,Marin County,5809,2130000
97581,94127,San Francisco,CA,West,San Francisco-Oakland-Hayward,San Francisco County,4619,2118200
70510,29482,Sullivans Island,SC,South,Charleston-North Charleston,Charleston County,9026,2105500
95985,90004,Los Angeles,CA,West,Los Angeles-Long Beach-Anaheim,Los Angeles County,180,2099700
96049,90068,Los Angeles,CA,West,Los Angeles-Long Beach-Anaheim,Los Angeles County,2099,2090300
97702,94402,San Mateo,CA,West,San Francisco-Oakland-Hayward,San Mateo County,3285,2079300
73055,34236,Sarasota,FL,South,North Port-Sarasota-Bradenton,Sarasota County,4040,2068400
97938,95032,Los Gatos,CA,West,San Jose-Sunnyvale-Santa Clara,Santa Clara County,3070,2062000
97549,94087,Sunnyvale,CA,West,San Jose-Sunnyvale-Santa Clara,Santa Clara County,449,2061400
96045,90064,Los Angeles,CA,West,Los Angeles-Long Beach-Anaheim,Los Angeles County,2457,2043900
72457,33154,Bal Harbour,FL,South,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,3928,2040300
96586,92014,Del Mar,CA,West,San Diego-Carlsbad,San Diego County,5052,2029100
97565,94110,San Francisco,CA,West,San Francisco-Oakland-Hayward,San Francisco County,58,2026800
58804,2554,Nantucket,MA,Northeast,,Nantucket County,4594,2024700
72463,33160,Sunny Isles Beach,FL,South,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,48,2018200
97539,94065,Redwood City,CA,West,San Francisco-Oakland-Hayward,San Mateo County,5956,2016700
72520,33301,Fort Lauderdale,FL,South,Miami-Fort Lauderdale-West Palm Beach,Broward County,3336,2010800
97575,94121,San Francisco,CA,West,San Francisco-Oakland-Hayward,San Francisco County,800,2003500
96294,91106,Pasadena,CA,West,Los Angeles-Long Beach-Anaheim,Los Angeles County,2931,1994600
97819,94618,Oakland,CA,West,San Francisco-Oakland-Hayward,Alameda County,4679,1990000
97498,94002,Belmont,CA,West,San Francisco-Oakland-Hayward,San Mateo County,2919,1989100
96293,91105,Pasadena,CA,West,Los Angeles-Long Beach-Anaheim,Los Angeles County,5275,1976900
97839,94705,Berkeley,CA,West,San Francisco-Oakland-Hayward,Alameda County,5248,1975600
96006,90025,Los Angeles,CA,West,Los Angeles-Long Beach-Anaheim,Los Angeles County,216,1973800
97881,94941,Mill Valley,CA,West,San Francisco-Oakland-Hayward,Marin County,2261,1973400
85070,61603,Peoria,IL,Midwest,Peoria,Peoria County,5340,39800
77821,45804,Lima,OH,Midwest,Lima,Allen County,5223,41300
68718,25703,Huntington,WV,South,Huntington-Ashland,Cabell County,7773,42300
65063,17401,York,PA,Northeast,York-Hanover,York County,4989,43100
84822,61104,Rockford,IL,Midwest,Rockford,Winnebago County,4782,43200
65285,17970,Saint Clair,PA,Northeast,Pottsville,Schuylkill County,8609,47300
77120,44306,Akron,OH,Midwest,Akron,Summit County,3915,48100
86363,64126,Kansas City,MO,Midwest,Kansas City,Jackson County,7621,53100
63699,14739,Town of Friendship,NY,Northeast,,Allegany County,8978,53400
87238,66607,Topeka,KS,Midwest,Topeka,Shawnee County,6792,54100
77128,44314,Akron,OH,Midwest,Akron,Summit County,4498,54500
64441,16101,New Castle,PA,Northeast,New Castle,Lawrence County,1969,54900
64531,16301,Oil City,PA,Northeast,Oil City,Venango County,4913,56100
80534,50703,Waterloo,IA,Midwest,Waterloo-Cedar Falls,Black Hawk County,4560,57500
78763,47807,Terre Haute,IN,Midwest,Terre Haute,Vigo County,5547,59100
63941,15210,Pittsburgh,PA,Northeast,Pittsburgh,Allegheny County,3082,59900
66014,19601,Reading,PA,Northeast,Reading,Berks County,2667,60400
63677,14715,Town of Bolivar,NY,Northeast,,Allegany County,9005,62100
87541,67335,Cherryvale,KS,Midwest,Coffeyville,Montgomery County,8694,62200
63385,14048,Town of Dunkirk,NY,Northeast,Jamestown-Dunkirk-Fredonia,Chautauqua County,5244,62400
77115,44301,Akron,OH,Midwest,Akron,Summit County,5343,63000
77002,44102,Cleveland,OH,Midwest,Cleveland-Elyria,Cuyahoga County,758,63100
63465,14208,Buffalo,NY,Northeast,Buffalo-Cheektowaga-Niagara Falls,Erie County,6807,63400
77174,44438,Masury,OH,Midwest,Youngstown-Warren-Boardman,Trumbull County,8118,63600
63727,14779,Town of Salamanca,NY,Northeast,Olean,Cattaraugus County,7231,63900
90382,74401,Muskogee,OK,South,Muskogee,Muskogee County,4972,64600
74663,38127,Memphis,TN,South,Memphis,Shelby County,1410,64700
87509,67214,Wichita,KS,Midwest,Wichita,Sedgwick County,5328,64700
64442,16102,New Castle,PA,Northeast,New Castle,Lawrence County,7823,64800
87951,68352,Fairbury,NE,Midwest,,Jefferson County,7789,65200
63818,14901,Town of Elmira,NY,Northeast,Elmira,Chemung County,5577,65400
77037,44137,Maple Heights,OH,Midwest,Cleveland-Elyria,Cuyahoga County,3652,65500
77192,44471,Struthers,OH,Midwest,Youngstown-Warren-Boardman,Mahoning County,6206,65800
76879,43906,Bellaire,OH,Midwest,Wheeling,Belmont County,6800,65800
63741,14806,Town of Andover,NY,Northeast,,Allegany County,9288,66800
79755,49442,Muskegon,MI,Midwest,Muskegon,Muskegon County,1179,67100
67916,24013,Roanoke,VA,South,Roanoke,Roanoke City,7090,67100
63935,15204,Pittsburgh,PA,Northeast,Pittsburgh,Allegheny County,6921,67500
85264,62018,Rosewood Heights,IL,Midwest,St. Louis,Madison County,8750,67500
64074,15417,Brownsville Township,PA,Northeast,Pittsburgh,Fayette County,6779,67600
78205,46619,South Bend,IN,Midwest,South Bend-Mishawaka,Saint Joseph County,4559,67700
63225,13667,Town of Norfolk,NY,Northeast,Ogdensburg-Massena,Saint Lawrence County,8760,67800
62990,13146,Town Of Tyre,NY,Northeast,Seneca Falls,Seneca County,9362,68400
63821,14904,Town of Elmira,NY,Northeast,Elmira,Chemung County,5170,68900
86369,64132,Kansas City,MO,Midwest,Kansas City,Jackson County,5422,69000
77124,44310,Akron,OH,Midwest,Akron,Summit County,3590,69100
66017,19604,Reading,PA,Northeast,Reading,Berks County,4229,69100
81289,53209,Milwaukee,WI,Midwest,Milwaukee-Waukesha-West Allis,Milwaukee County,577,69300
80632,51105,Sioux City,IA,Midwest,Sioux City,Woodbury County,6680,69800
77657,45416,Trotwood,OH,Midwest,Dayton,Montgomery County,7709,70200
79266,48604,Saginaw,MI,Midwest,Saginaw,Saginaw County,6363,70400
87239,66608,Topeka,KS,Midwest,Topeka,Shawnee County,7597,70700
77696,45505,Springfield,OH,Midwest,Springfield,Clark County,4179,71300
85954,63136,Jennings,MO,Midwest,St. Louis,Saint Louis County,759,71700
63125,13452,Town Of Ephratah,NY,Northeast,Gloversville,Fulton County,8234,71800
76965,44052,Lorain,OH,Midwest,Cleveland-Elyria,Lorain County,2540,71900
82400,55719,Chisholm,MN,Midwest,Duluth,Saint Louis County,7523,72500
63815,14895,Wellsville,NY,Northeast,,Allegany County,6443,72600
65250,17921,Ashland,PA,Northeast,Pottsville,Schuylkill County,7373,72800
63227,13669,Ogdensburg,NY,Northeast,Ogdensburg-Massena,Saint Lawrence County,5106,73000
87739,67749,Oberlin,KS,Midwest,,Decatur County,9155,73200
63506,14305,Niagara Falls,NY,Northeast,Buffalo-Cheektowaga-Niagara Falls,Niagara County,4926,73300
76771,43612,Toledo,OH,Midwest,Toledo,Lucas County,2482,73900
84961,61422,Bushnell,IL,Midwest,Macomb,McDonough County,8693,73900
63717,14760,Town of Olean,NY,Northeast,Olean,Cattaraugus County,4372,74400
63771,14843,Hornell,NY,Northeast,Corning,Steuben County,5636,74500
63213,13654,Heuvelton,NY,Northeast,Ogdensburg-Massena,Saint Lawrence County,9315,74500
87595,67455,Lincoln,KS,Midwest,,Lincoln County,9390,74800
85316,62084,Roxana,IL,Midwest,St. Louis,Madison County,9488,75000
87304,66757,Neodesha,KS,Midwest,,Wilson County,8709,75400
75000,38771,Ruleville,MS,Midwest,Indianola,Sunflower County,8970,75700
63697,14737,Town of Franklinville,NY,Northeast,Olean,Cattaraugus County,8366,75900
64112,15461,Masontown,PA,Northeast,Pittsburgh,Fayette County,8213,76000
77456,45123,Greenfield,OH,Midwest,,Highland County,6883,76200
63350,13904,Binghamton,NY,Northeast,Binghamton,Broome County,6813,76300
74659,38122,Memphis,TN,South,Memphis,Shelby County,3325,76400
63011,13204,Syracuse,NY,Northeast,Syracuse,Onondaga County,4242,76500
63203,13642,Town Of Fowler,NY,Northeast,Ogdensburg-Massena,Saint Lawrence County,6816,76500
81124,52802,Davenport,IA,Midwest,Davenport-Moline-Rock Island,Scott County,6575,77000
87710,67661,Phillipsburg,KS,Midwest,,Phillips County,8692,77000
77119,44305,Akron,OH,Midwest,Akron,Summit County,3886,77100
87246,66616,Topeka,KS,Midwest,Topeka,Shawnee County,7525,77300
63464,14207,Buffalo,NY,Northeast,Buffalo-Cheektowaga-Niagara Falls,Erie County,3980,77700
63681,14719,New Albion,NY,Northeast,Olean,Cattaraugus County,8799,77700
87558,67357,Parsons,KS,Midwest,Parsons,Labette County,5756,78100
87393,66967,Smith Center,KS,Midwest,,Smith County,9270,78100
78141,46408,Gary,IN,Midwest,Chicago-Naperville-Elgin,Lake County,5450,78600
78557,47359,Montpelier,IN,Midwest,,Blackford County,8973,78700
63463,14206,Buffalo,NY,Northeast,Buffalo-Cheektowaga-Niagara Falls,Erie County,4344,78800
69501,27801,Rocky Mount,NC,South,Rocky Mount,Nash County,4536,78900
64398,15963,Windber,PA,Northeast,Somerset,Somerset County,6062,78900
77169,44430,Leavittsburg,OH,Midwest,Youngstown-Warren-Boardman,Trumbull County,8602,79100
63469,14212,Buffalo,NY,Northeast,Buffalo-Cheektowaga-Niagara Falls,Erie County,6364,79200
76900,43935,Martins Ferry,OH,Midwest,Wheeling,Belmont County,6752,79600
64879,17048,Lykens Township,PA,Northeast,Harrisburg-Carlisle,Dauphin County,8554,79600
85952,63134,Berkeley,MO,Midwest,St. Louis,Saint Louis County,5903,79900
81298,53218,Milwaukee,WI,Midwest,Milwaukee-Waukesha-West Allis,Milwaukee County,1743,80300
87652,67554,Lyons,KS,Midwest,,Rice County,8394,80300
84821,61103,Rockford,IL,Midwest,Rockford,Winnebago County,3503,80400
